Epoch 050 | T: 27s | Train: 3.3028 (24.5%) | Phys: 0.04 | Val: 2.2071 (43.40%) | Best: 43.40%
Epoch 051 | T: 27s | Train: 3.2934 (24.8%) | Phys: 0.04 | Val: 2.2240 (43.55%) | Best: 43.55%
Epoch 052 | T: 27s | Train: 3.2708 (25.0%) | Phys: 0.04 | Val: 2.0950 (45.82%) | Best: 45.82%
Epoch 053 | T: 27s | Train: 3.2287 (26.2%) | Phys: 0.04 | Val: 2.1230 (44.62%) | Best: 45.82%
Epoch 054 | T: 27s | Train: 3.2028 (26.9%) | Phys: 0.04 | Val: 2.1330 (45.31%) | Best: 45.82%
Epoch 055 | T: 27s | Train: 3.2307 (26.3%) | Phys: 0.04 | Val: 2.1230 (45.65%) | Best: 45.82%
Epoch 056 | T: 28s | Train: 3.1962 (27.1%) | Phys: 0.04 | Val: 2.0289 (47.32%) | Best: 47.32%
Epoch 057 | T: 27s | Train: 3.1656 (27.7%) | Phys: 0.04 | Val: 2.0063 (48.03%) | Best: 48.03%
Epoch 058 | T: 27s | Train: 3.1532 (27.9%) | Phys: 0.04 | Val: 2.0337 (47.69%) | Best: 48.03%
Epoch 059 | T: 27s | Train: 3.1513 (27.9%) | Phys: 0.04 | Val: 1.9655 (48.57%) | Best: 48.57%
Epoch 060 | T: 27s | Train: 3.1373 (28.3%) | Phys: 0.04 | Val: 1.9635 (49.15%) | Best: 49.15%
Epoch 061 | T: 27s | Train: 3.1678 (27.6%) | Phys: 0.04 | Val: 1.9200 (49.92%) | Best: 49.92%
Epoch 062 | T: 27s | Train: 3.0668 (30.1%) | Phys: 0.04 | Val: 1.9248 (49.23%) | Best: 49.92%
Epoch 063 | T: 27s | Train: 3.1205 (28.9%) | Phys: 0.04 | Val: 1.8851 (50.29%) | Best: 50.29%
Epoch 064 | T: 27s | Train: 3.0989 (29.2%) | Phys: 0.04 | Val: 1.8761 (50.47%) | Best: 50.47%
Epoch 065 | T: 27s | Train: 3.0864 (29.5%) | Phys: 0.04 | Val: 1.8962 (50.91%) | Best: 50.91%
Epoch 066 | T: 27s | Train: 3.0607 (30.2%) | Phys: 0.04 | Val: 1.8410 (51.45%) | Best: 51.45%
Epoch 067 | T: 27s | Train: 3.0759 (29.7%) | Phys: 0.04 | Val: 1.8761 (51.65%) | Best: 51.65%
Epoch 068 | T: 28s | Train: 3.0188 (30.9%) | Phys: 0.04 | Val: 1.8616 (51.72%) | Best: 51.72%
Epoch 069 | T: 27s | Train: 2.9877 (31.7%) | Phys: 0.04 | Val: 1.8521 (51.48%) | Best: 51.72%
Epoch 070 | T: 27s | Train: 3.0599 (30.1%) | Phys: 0.04 | Val: 1.8253 (52.19%) | Best: 52.19%
Epoch 071 | T: 27s | Train: 2.9804 (31.8%) | Phys: 0.04 | Val: 1.7845 (52.81%) | Best: 52.81%
Epoch 072 | T: 27s | Train: 2.9991 (31.5%) | Phys: 0.04 | Val: 1.7714 (53.63%) | Best: 53.63%
Epoch 073 | T: 27s | Train: 2.9522 (32.7%) | Phys: 0.04 | Val: 1.7408 (54.12%) | Best: 54.12%
Epoch 074 | T: 27s | Train: 3.0113 (31.3%) | Phys: 0.04 | Val: 1.7820 (53.34%) | Best: 54.12%
